,entry,top year,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
84,84,2010,85,Sara Bareilles,King of Anything,2010-09-07,0.676,0.762,-4.172,0.0351,0.461,0.0,0.0574,0.81,119.003,1,1,207493,59.0,pop
85,85,2010,86,Robyn,Dancing On My Own - Radio Edit,2010-01-01,0.573,0.926,-6.045,0.0342,0.00202,0.0117,0.127,0.219,117.047,6,1,278080,59.0,pop
86,86,2010,87,Kesha,Blah Blah Blah (feat. 3OH!3),2010-01-01,0.752,0.836,-3.173,0.115,0.0843,0.000425,0.424,0.519,120.003,10,1,172053,59.0,pop
87,87,2010,88,Alicia Keys,Try Sleeping with a Broken Heart,2009-12-15,0.496,0.821,-5.155,0.112,0.158,0.246,0.13,0.549,110.977,5,1,249013,58.0,pop
88,88,2010,89,Swedish House Mafia,One - Radio Edit,2010-07-23,0.802,0.781,-6.564,0.0368,0.0075,0.825,0.147,0.622,125.026,0,1,169920,57.0,pop
89,89,2010,90,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010-09-06,0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497,1,1,263773,57.0,hip hop
90,90,2010,91,Ne-Yo,Beautiful Monster,2010-01-01,0.708,0.771,-6.99,0.131,0.209,5.32e-06,0.277,0.494,128.013,5,0,251573,57.0,pop
91,91,2010,92,Take That,The Flood,2010-01-01,0.514,0.83,-6.077,0.044,0.0378,1.43e-06,0.122,0.138,100.631,11,0,289360,56.0,pop
92,92,2010,93,Duck Sauce,Barbra Streisand (Radio Edit),2010-10-15,0.763,0.925,-1.997,0.0969,0.000737,0.136,0.218,0.455,127.95,1,1,194531,56.0,dance
93,93,2010,94,Glee Cast,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,2009-11-02,0.473,0.604,-4.034,0.0337,0.0376,0.0,0.103,0.271,123.848,7,1,232000,56.0,pop
